SpawnStrafe, 0, 15, (-16, 8), (16, 8), 0
SpawnStrafe, 0, 13, (-16, 0), (16, 0), 0
SpawnStrafe, 0, 11, (-16, -8), (16, -8), 0
SpawnStrafe, 0, 4, (16, 4), (-16, 4), 0
SpawnStrafe, 0, 6, (16, -4), (-16, -4), 20
SpawnStrafe, 1, 15, (-16, 8), (16, 8), 0
SpawnStrafe, 1, 13, (-16, 0), (16, 0), 0
SpawnStrafe, 1, 11, (-16, -8), (16, -8), 0
SpawnStrafe, 1, 4, (16, 4), (-16, 4), 0
SpawnStrafe, 1, 6, (16, -4), (-16, -4), 40
SpawnStrafe, 2, 15, (-16, 8), (-16, -8), 0
SpawnStrafe, 2, 1, (0, 8), (0, -8), 0
SpawnStrafe, 2, 3, (16, 8), (16, -8), 0
SpawnStrafe, 2, 10, (-8, 8), (-8, -8), 0
SpawnStrafe, 2, 8, (8, 8), (8, -8), 10
SpawnStrafe, 0, 15, (-16, 8), (16, 8), 0
SpawnStrafe, 0, 7, (16, -8), (-16, -8), 0
